Runtime: sparse_custom
Time of Execution: Thu May 23 23:21:30 2024
Time: 0.486s
Time: 0.176s
Time: 0.186s
Time: 0.213s
Time: 0.464s
Time: 0.755s
Time: 0.287s
Time: 0.297s
Time: 0.149s
Time: 0.376s
Time: 0.338s
Time: 0.235s
Time: 0.253s
Time: 0.265s
Time: 0.777s
Time: 0.325s
Time: 0.129s
Time: 0.167s
Time: 0.710s
Time: 0.331s
Time: 1.102s
Time: 0.311s
Time: 0.396s
Time: 0.183s
Time: 0.101s
Time: 0.266s
Time: 0.274s
Time: 0.164s
Time: 0.117s
Time: 0.143s
Time: 0.223s
Time: 0.324s
Time: 0.579s
Time: 0.111s
Time: 0.292s
Time: 0.163s
Time: 0.601s
Time: 0.660s
Time: 0.242s
Time: 0.307s
Time: 0.088s
Time: 0.177s
Time: 0.402s
Time: 0.119s
Time: 0.662s
Time: 0.632s
Time: 0.240s
Time: 1.027s
Time: 0.455s
Time: 0.493s
Time: 0.425s
Time: 0.213s
Time: 0.358s
Time: 0.436s
Time: 0.229s
Time: 0.435s
Time: 0.333s
Time: 0.222s
Time: 0.438s
Time: 0.323s
Time: 0.166s
Time: 0.528s
Time: 0.399s
Time: 0.190s
Time: 0.154s
Time: 0.312s
Time: 0.520s
Time: 0.552s
Time: 0.657s
Time: 0.321s
Time: 0.176s
Time: 0.090s
Time: 0.176s
Time: 0.807s
Time: 0.838s
Time: 0.430s
Time: 0.321s
Time: 0.882s
Time: 0.226s
Time: 0.240s
Time: 0.443s
Time: 0.144s
Time: 0.295s
Time: 0.139s
Time: 0.618s
Time: 0.436s
Time: 0.294s
Time: 0.895s
Time: 0.590s
Time: 0.271s
Time: 0.652s
Time: 0.168s
Time: 0.171s
Time: 0.148s
Time: 0.228s
Time: 0.267s
Time: 0.151s
Time: 0.118s
Time: 0.279s
Time: 0.157s
Average time = 0.356
